Location of Private Lateral,Zipcode,"Date of WW
Release",lat,long
"6122 Bending Oaks St, Houston, Texas, 77050",77050,2021-04-13,29.9021878,-95.2981927
"11014 Ledford Ln, Houston, Texas, 77016",77016,2021-04-13,29.8758259,-95.2856078
"8106 Comal St, Houston, Texas, 77051",77051,2021-04-13,29.6741134,-95.3706732
"1100 Collingsworth St, Houston, Texas, 77009",77009,2021-04-13,29.7931404,-95.3570161
"6918 Trigate Dr, Missouri City, Texas, 77489",77489,2021-04-14,29.5933414,-95.4890503
"3206 Ashlock Dr, Houston, Texas, 77082",77082,2021-04-14,29.7292862,-95.6073079999999
"10217 Homestead Rd, Houston, Texas, 77016",77016,2021-04-14,29.8600715,-95.3008504
"8401 Westcott Rd, Houston, Texas, 77016",77016,2021-04-14,29.8362585,-95.3056968
"11903 Murr Way, Houston, Texas, 77048",77048,2021-04-14,29.6309617,-95.3493288
"6905 Peyton St, Houston, Texas, 77028",77028,2021-04-14,29.8196372,-95.3087189
"4214 Tareyton Ln, Houston, Texas, 77047",77047,2021-04-15,29.6351105,-95.3612026999999
"9518 Dalecrest Dr, Houston, Texas, 77080",77080,2021-04-14,29.7986669,-95.5281634
"6430 Brookside Dr, Houston, Texas, 77023",77023,2021-04-15,29.7286035,-95.3137982
"6414 Jordan Falls Dr, Houston, Texas, 77085",77085,2021-04-15,29.6394284,-95.4805459999999
"708 Majestic St, Houston, Texas, 77020",77020,2021-04-15,29.7761087,-95.3024261
"6303 Crane St, Houston, Texas, 77026",77026,2021-04-15,29.7972173,-95.3062097999999
"6301 Crane St, Houston, Texas, 77026",77026,2021-04-15,29.7973047,-95.3063763
"10101 Forum Park Dr, Houston, Texas, 77036",77036,2021-04-15,29.6717854,-95.5544065
"5922 Annunciation St, Houston, Texas, 77016",77016,2021-04-15,29.8841453,-95.3018173
"16346 Quail Hunt Ln, Missouri City, Texas, 77489",77489,2021-04-16,29.5897789,-95.513161
"8414 Coastway Ln, Houston, Texas, 77075",77075,2021-04-16,29.6051534,-95.2687596999999
"3513 Hillcroft Ave, Houston, Texas, 77057",77057,2021-04-16,29.727257,-95.500778
"4003 Rosewin Cir, Houston, Texas, 77047",77047,2021-04-16,29.6282826,-95.3633584
"12011 Kirkholm Dr, Houston, Texas, 77089",77089,2021-04-16,29.6037212,-95.2190214
"9254 Richland Dr, Houston, Texas, 77078",77078,2021-04-16,29.8370853,-95.2510401
"7926 Monet St, Houston, Texas, 77093",77093,2021-04-16,29.8328245,-95.3328198999999
"2423 Leffingwell St, Houston, Texas, 77026",77026,2021-04-16,29.784802,-95.329667
"214 English St, Houston, Texas, 77009",77009,2021-04-16,29.8075923,-95.3681728
"2626 Sage Rd, Houston, Texas, 77056",77056,2021-04-16,29.7383978,-95.4673782
"3615 Easy St, Houston, Texas, 77026",77026,2021-04-16,29.7925666,-95.3125172
"9331 Linda Vista Rd, Houston, Texas, 77078",77078,2021-04-17,29.838361,-95.248429
"3924 Kashmere St, Houston, Texas, 77026",77026,2021-04-17,29.7964485,-95.3237872999999
"5921 Richmond Ave, Houston, Texas, 77057",77057,2021-04-17,29.7310755,-95.4835719
"711 Kress St, Houston, Texas, 77020",77020,2021-04-18,29.7760518,-95.3071260999999
"3108 Collingsworth St, Houston, Texas, 77026",77026,2021-04-18,29.7936668,-95.3379296999999
"4958 W Orem Dr, Houston, Texas, 77045",77045,2021-04-19,29.6276704999999,-95.4569566
"16710 Lost Quail Dr, Missouri City, Texas, 77489",77489,2021-04-19,29.5842378999999,-95.5173427
"5102 Ripplebrook Dr, Houston, Texas, 77045",77045,2021-04-19,29.6258530999999,-95.4572432
"15810 Kenbrook Dr, Missouri City, Texas, 77489",77489,2021-04-19,29.5970806,-95.4944668999999
"1602 Castle Ct, Houston, Texas, 77006",77006,2021-04-19,29.7321571,-95.399721
"9406 Chesterfield Dr, Houston, Texas, 77051",77051,2021-04-19,29.6549185,-95.3731974999999
"8531 Quail Hills Dr, Missouri City, Texas, 77489",77489,2021-04-19,29.5892735,-95.5178372
"4718 Newpark Dr, Houston, Texas, 77041",77041,2021-04-19,29.8372021,-95.5540784
"4213 Center St, Houston, Texas, 77007",77007,2021-04-19,29.7708899,-95.403629
"5314 Karcher St, Houston, Texas, 77009",77009,2021-04-19,29.8084113,-95.3707689
"10425 Bauman Rd, Houston, Texas, 77076",77076,2021-04-19,29.8568569,-95.3723237999999
"6315 McKinstry Blvd, Houston, Texas, 77085",77085,2021-04-19,29.6186155,-95.478619
"6318 Hanley Ln, Houston, Texas, 77016",77016,2021-04-19,29.8782978,-95.2949258
"8706 Guinevere St, Houston, Texas, 77029",77029,2021-04-19,29.7601013,-95.26952
"6706 Ridgeway Dr, Houston, Texas, 77087",77087,2021-04-19,29.6697795,-95.3088413999999
"7916 Pillot St, Houston, Texas, 77029",77029,2021-04-19,29.7616714,-95.2866284
"305 N Ennis St, Houston, Texas, 77003",77003,2021-04-19,29.7569262,-95.3398818
"3312 Europa St, Houston, Texas, 77022",77022,2021-04-19,29.8170221,-95.3863733
"1001 Lucky St, Houston, Texas, 77088",77088,2021-04-20,29.8697902,-95.4269609
"4918 Heatherbloom Dr, Houston, Texas, 77045",77045,2021-04-20,29.6227389,-95.4550322
"5311 Long Creek Ln, Houston, Texas, 77088",77088,2021-04-20,29.877408,-95.466295
"1133 Kingwood Dr, Kingwood, Texas, 77339",77339,2021-04-20,30.0504175,-95.2397699
"1115 Hogan St, Houston, Texas, 77009",77009,2021-04-20,29.7778686,-95.3572659
"6418 Harcourt Dr, Houston, Texas, 77016",77016,2021-04-20,29.874543,-95.2936402999999
"9415 Springview Ln, Houston, Texas, 77080",77080,2021-04-21,29.8293155,-95.5244534
"10007 Kirkdale Dr, Houston, Texas, 77089",77089,2021-04-21,29.6050413,-95.2279521999999
"1105 Wooding St, Houston, Texas, 77011",77011,2021-04-22,29.7423914,-95.2984671999999
"5520 Cochran St, Houston, Texas, 77009",77009,2021-04-22,29.810011,-95.356318
"10910 Village Bend Ln, Houston, Texas, 77072",77072,2021-04-20,29.6909298,-95.5715557
"8316 East Fwy, Houston, Texas, 77029",77029,2021-04-22,29.7772809,-95.2803758
"1331 Globe St, Houston, Texas, 77034",77034,2021-04-22,29.6503303,-95.2444921
"1020 Dewalt St, Houston, Texas, 77088",77088,2021-04-22,29.8825643,-95.4263374
"3517 Little York Rd, Houston, Texas, 77093",77093,2021-04-22,29.8713908,-95.3332284999999
"3354 Dixie Dr, Houston, Texas, 77021",77021,2021-04-22,29.7042097,-95.3705849
"2108 Leeland St, Houston, Texas, 77003",77003,2021-04-22,29.7464568,-95.3588930999999
"6404 Rodrigo St, Houston, Texas, 77007",77007,2021-04-23,29.7724141,-95.4268886999999
"3321 Parkwood Dr, Houston, Texas, 77021",77021,2021-04-22,29.7078188,-95.369481
"11727 Sea Shore Dr, Houston, Texas, 77072",77072,2021-04-22,29.693961,-95.5862384
