zip code,Median earnings (dollars),total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some Other Race (%)
77016,30510,29480,10723,17236,285,265,54,9548,36.37381275440977,58.46675712347354,0.9667571234735414,0.8989145183175035,0.18317503392130258,32.38805970149254
77017,32771,30797,21604,2191,372,1689,112,16886,70.14968990486086,7.114329317790694,1.2079098613501316,5.4843004188719675,0.3636717862129428,54.830015910640654
77018,75487,29595,24355,2812,513,1866,5,5792,82.29430647068762,9.501605000844737,1.7334009123162697,6.305119107957426,0.016894746,19.570873458354452
77019,75871,23662,17930,2979,686,2795,60,2380,75.77550502916068,12.589806440706619,2.8991632152818867,11.81218831882343,0.25357112670103965,10.058321359141239
77020,32573,25583,10023,6390,316,408,16,14031,39.17836063010593,24.97752413712231,1.2351952468436072,1.5948090528866827,0.062541531,54.84501426728687
77021,38041,24884,6540,16330,329,619,16,4170,26.281948239832825,65.62449766918502,1.3221347050313454,2.4875421957884587,0.064298344,16.757755987783316
77022,28877,26135,14984,5524,472,265,15,11112,57.33307824756074,21.136407116893054,1.8060072699445189,1.013965946049359,0.057394299,42.51769658
77023,35730,24962,14192,1183,402,611,0,14802,56.854418716449004,4.739203589455973,1.6104478807787839,2.4477205352135245,0,59.29813316240686
77024,79144,37647,29951,1508,369,5866,29,3293,79.55746805854385,4.005631258798842,0.9801577814965335,15.581586846229447,0.07703137,8.747044917257684
77025,61238,29177,17149,5016,936,5846,0,4281,58.775748020701236,17.191623539089008,3.2080063063371833,20.036329985947834,0,14.672516022894747
77026,29339,20536,6166,10464,280,98,0,7126,30.025321386832875,50.95442150370082,1.3634592910011687,0.47721075185040907,0,34.70003895597974
77027,77999,19269,14559,2209,341,2375,79,2506,75.55659349213764,11.464009549016554,1.769681872437594,12.325496912138668,0.4099849499195599,13.005345373397686
77028,28099,18379,4872,10605,260,0,28,5419,26.508515153163938,57.70172479460254,1.4146580336253334,0,0.15234778823657436,29.484738016214155
77029,32614,15931,9223,3576,282,65,13,7956,57.89341535371288,22.446801832904402,1.7701337015880985,0.4080095411461929,0.081601908,49.94036783629402
77030,62929,12976,7917,2002,167,3254,4,851,61.01263871763255,15.428483353884094,1.2869913686806411,25.077065351418003,0.030826140567200986,6.558261406
77031,33638,15740,8363,3350,131,1205,39,6550,53.132147395171536,21.28335451080051,0.83227446,7.655654383735705,0.2477763659466328,41.61372299872935
77032,30574,13536,5768,5463,383,67,0,4793,42.61229314420804,40.359042553191486,2.8294917257683214,0.4949763593380615,0,35.40927895981088
77033,28459,28079,9458,15752,421,98,5,7256,33.68353573845223,56.09886391965526,1.4993411446276577,0.34901527832187756,0.017806901955197834,25.841376117383096
77034,35127,37185,24291,4972,975,1913,0,17138,65.32472771,13.37098292322173,2.6220250100847116,5.144547532607234,0,46.088476536237735
77035,38326,34849,16715,11147,1113,1106,46,11684,47.964073574564544,31.98657063330368,3.1937788745731583,3.1736922149846483,0.13199804872449714,33.527504376022264
77036,27812,71036,28214,10768,1390,6864,242,44541,39.71788952080635,15.15851117743116,1.9567543217523509,9.662706233,0.3406723351540064,62.70201024832479
77037,30779,17806,7942,417,92,77,0,11947,44.60294282826014,2.341907222284623,0.5166797708637538,0.43243850387509825,0,67.09536111423115
77038,31662,31271,14253,6845,229,1771,334,15548,45.57897093153401,21.889290396853315,0.7323078890985258,5.663394199098206,1.0680822487288542,49.72018803364139
77039,30385,28335,15189,2567,440,669,5,13987,53.605082053996824,9.059467090171166,1.5528498323628022,2.3610375860243513,0.017646021,49.36297865
77040,37004,50446,28640,9345,1694,4524,98,16889,56.77357967,18.524759148396306,3.358046227649367,8.968005391904214,0.19426713713674026,33.47936407247354
77041,40991,33180,19531,3221,1107,5974,57,11606,58.86377335744425,9.707655213984328,3.3363471971066905,18.004822182037373,0.1717902350813743,34.97890295
77042,40687,40725,20966,11394,1169,3171,41,11881,51.48189073050952,27.97790055248619,2.870472682627379,7.786372007366483,0.10067526089625536,29.173726212400247
77043,48228,26343,19451,2567,591,1916,122,8502,73.83745207,9.744524162016475,2.243480241430361,7.273279429070341,0.4631211327487378,32.27422844778499
77044,53258,55746,27147,19945,2073,1564,348,15775,48.69766440641481,35.778351809995335,3.7186524593692822,2.8055824633157536,0.6242600365945539,28.29799447493991
77045,36811,32482,12769,13253,707,708,0,13307,39.311003017055604,40.80105904808817,2.1765901114463393,2.17966874,0,40.96730496890586
77046,74306,1873,1334,382,31,78,0,510,71.22263747997864,20.395088093966898,1.6550987720234915,4.164442072,0,27.229044313934864
77047,44732,35248,9126,21738,882,1413,529,7264,25.890830685428963,61.67158420335905,2.502269632319564,4.008738084430322,1.5007943713118475,20.608261461643213
77048,36864,20430,3752,14647,342,802,48,2359,18.36514929025942,71.69358786098874,1.6740088105726871,3.9255996084189912,0.23494860499265785,11.546744982868331
77049,37262,40373,24842,8502,292,1323,0,18416,61.53122136081044,21.058628291184704,0.7232556411463107,3.2769425110841404,0,45.61464344983033
77050,18604,5854,3271,1475,116,22,0,3813,55.876323881106934,25.196446873932356,1.9815510761872224,0.37581141100102494,0,65.13495046
77051,31914,18506,2910,15734,55,172,48,1560,15.724629849778452,85.02107424619042,0.2972009078136821,0.9294282935264239,0.25937533772830434,8.429698476169891
77053,32177,30256,12339,12774,511,372,132,10766,40.78199365415124,42.21972501322052,1.688921205711264,1.2295081967213115,0.43627710206240083,35.58302485
77054,48452,26696,8362,11703,627,6023,0,2891,31.32304465088403,43.83802816901409,2.3486664668864248,22.561432424333233,0,10.829337728498652
77055,41443,44088,26120,2519,1582,3759,15,18180,59.24514607149338,5.713572854291417,3.588277989475594,8.526129559,0.034022863,41.235710397387045
77056,68626,23314,17251,2167,223,3545,0,3492,73.99416659517887,9.294844299562495,0.9565068199365189,15.205455949215063,0,14.978124731920733
77057,40419,45394,31112,6464,971,5110,97,12258,68.53769220601842,14.239767370137022,2.139049213552452,11.256994316429484,0.2136846279243953,27.00356875357977
77058,51423,18572,13951,1668,824,2215,53,2778,75.11845789360328,8.981262115011845,4.436786560413526,11.92655610596597,0.28537583458970495,14.95800129226793
77059,77360,18386,14085,1193,346,3220,0,1873,76.60720113129555,6.488632655281192,1.8818666376590885,17.51332535624932,0,10.18709887958229
77060,26278,44920,26559,10219,1392,561,8,22027,59.12511130899377,22.74933215,3.0988423864648262,1.248886910062333,0.017809439002671415,49.03606411398041
